Title,Genre,Plot,Keywords
Strike Witches,anime,"On an alternate Earth during the World War II era, the world has been invaded by a mysterious alien force known as the Neuroi who take on forms similar to aircraft and spread a corrosive miasma. As a result, the armed forces of the world have allied together to combat the Neuroi threat instead of fighting among themselves. As normal humans have no effect against the Neuroi's technology, the military instead calls upon Witches, young girls who possess magical abilities capable of fighting against the Neuroi. The Witches, who are inspired by famous real-life pilots, grow animal ears and tails when using their magic, and can use special machines known as Striker Units, which feature designs based on real-life aircraft, to fly through the sky and increase the strength of their magical ability in combat.
The light novel series follows the Suomus Independent Volunteer Aerial Squadron, focusing on a dogfighter named Tomoko Anabuki. The main anime franchise follows Yoshika Miyafuji, a girl from the Fusō Empire who joins the titular Strike Witches to investigate the death of her father and help fight off the Neuroi. The spin-off anime series, Brave Witches, follows a Fusō girl named Hikari Karibuchi, who joins the titular Brave Witches to fight in the place of her injured sister Takami.",anime alternate earth world war ii era world invade mysterious alien force know neuroi form similar aircraft spread corrosive miasma result armed force world ally combat neuroi threat instead fight normal human effect neuroi technology military instead call witch young girl possess magical ability capable fight neuroi witch inspire famous real life pilot grow animal ear tail magic use special machine know striker unit feature design base real life aircraft fly sky increase strength magical ability combat light novel series follow suomus independent volunteer aerial squadron focus dogfighter name tomoko anabuki main anime franchise follow yoshika miyafuji girl fusō empire join titular strike witch investigate death father help fight neuroi spin anime series brave witch follow fusō girl name hikari karibuchi join titular brave witch fight place injure sister takami
The Royal African Rifles,adventure,"In August 1914 a consignment of Vickers machine guns are stolen off a Royal Navy ship, HMS Marlin. An RN Lieutenant aboard the ship goes undercover as a white hunter through British East Africa to find the weapons before they get into the hands of the Germans and alter the balance of power in Africa.",adventure august consignment vicker machine gun steal royal navy ship hms marlin rn lieutenant aboard ship go undercover white hunter british east africa find weapon hand germans alter balance power africa
Listen... Amaya,drama,"The film is set in Delhi, where a widowed mother, Leela, runs library cafe "" Book a Coffee."" Here she makes a new friend, a widowed photographer, Jayant 'Jazz', and soon finds their friendship growing. However, Leela's daughter Amaya, a budding writer, feels insecure about the relationship when she finds out about it. While she collaborates with Jazz on producing a coffee table book about the bazaars of Old Delhi, when her mother takes her relationship with Jazz further, she is unable to accept it. The journeys of all the principal characters and a subtle twist at the end make up the narrative of the film. ..",drama film set delhi widow mother leela run library cafe book coffee make new friend widow photographer jayant jazz soon find friendship grow leela daughter amaya bud writer feel insecure relationship find collaborate jazz produce coffee table book bazaar old delhi mother take relationship jazz unable accept journey principal character subtle twist end narrative film
The Mate of the Sally Ann,comedy drama,"Captain Ward is an old man living in a ship with his granddaughter Sally. Sally's mother died when Sally was born and never revealed the identity of her father. That is why Ward is overprotective of Sally, and he prays each day for the chance to slay the man who ruined his daughter and left a grandchild without a name. One day, Sally finds a three legged dog and sneaks him into the ship. He runs away, however, and Sally follows him to the mansion of Judge Gordon. There she meets Hugh Schuyler, the young friend of the judge. They fall in love, but Ward chases him away. The judge is struck by how much Sally looks like the woman to whom he was once married. When the judge visits the captain, he tells him he doubts he is Sally's father. Ward becomes angry and tries to kill him, and Sally, interfering, is struck by a blow and knocked unconscious. When she awakes, Sally finds out that Judge Gordon is actually her father, having been secretly married to her mother. She accepts a marriage proposal from Hugh and elopes with him as they happily sail away along with the captain and judge.[2][3]",comedy drama captain ward old man live ship granddaughter sally sally mother die sally bear reveal identity father ward overprotective sally pray day chance slay man ruin daughter leave grandchild day sally find legged dog sneak ship run away sally follow mansion judge gordon meet hugh schuyler young friend judge fall love ward chase away judge strike sally look like woman marry judge visit captain tell doubt sally father ward angry try kill sally interfere strike blow knock unconscious awake sally find judge gordon actually father having secretly married mother accept marriage proposal hugh elope happily sail away captain
Aadmi Khilona Hai,"drama, romance","The story deals with the Verma family, consisting of two brothers, Vijay and Sharad, Vijay's wife, Ganga, and their daughter. Sharad is unmarried and is studying in college, while Vijay runs the household on his income. In college, Sharad meets with Punam and both are attracted to each other. Ganga and Vijay get them married, but permit them a married life only after they complete their studies, which they do. They are devastated to learn that Punam cannot be a mother, so Ganga lets Punam mother her child. Soon Sharad gets a job, which gets him to relocate to another city, and there are tearful good-byes. Punam decides to keep Ganga's child with her. But Ganga has been kind to Punam and Sharad for a reason, and now the time has come for payback. Later on, as time progresses Sharad earns well and lives in a bigger bungalow with drivers and servants. When Ganga asks for some money to renew the temple floor, Sharad refuses, saying it is a waste of money, but buys an expensive video game for his son. Soon after, their son buys a lottery ticket and wins 21,00,000 rupees. Unable to bear the shame of inequality, Ganga reaches Poonam's house and demands her son back. Poonam begs, but to no avail. Sharad leaves the boy with Ganga and comes home. Later, when Vijay returns from the tour, he finds that Sharad and Poonam have vacated their bungalow and shifted to a small house and are miserable at the loss of their child. Vijay comes home to Ganga, who now lives a better life with the lottery money. He screams and disowns her, and leaves with his children, and goes straight to Sharad's dwelling and apologizes for his wife's mistakes. Meanwhile, unable to bear the guilt, Ganga has struck herself with a bronze stand[clarification needed] and bleeds and faints. Sharad and Poonam reach home to find her unconscious and soon bring her back to consciousness. Vijay realizes his mistake and accepts her apology and then they all live happily together.",drama romance story deal verma family consist brother vijay sharad vijay wife ganga daughter sharad unmarried study college vijay run household income college sharad meet punam attract ganga vijay married permit married life complete study devastate learn punam mother ganga let punam mother child soon sharad get job get relocate city tearful good bye punam decide ganga child ganga kind punam sharad reason time come payback later time progress sharad earn live big bungalow driver servant ganga ask money renew temple floor sharad refuse say waste money buy expensive video game son soon son buy lottery ticket win rupee unable bear shame inequality ganga reach poonam house demand son poonam beg avail sharad leave boy ganga come home later vijay return tour find sharad poonam vacate bungalow shift small house miserable loss child vijay come home ganga live well life lottery money scream disown leave child go straight sharad dwelling apologize wife mistake unable bear guilt ganga strike bronze need bleed faint sharad poonam reach home find unconscious soon bring consciousness vijay realize mistake accept apology live happily
The Abominable Snowman,horror,"Dr. John Rollason (Peter Cushing), his wife, Helen (Maureen Connell), and assistant, Peter Fox (Richard Wattis), are guests of the Lama (Arnold Marlé) of the monastery of Rong-buk while on a botanical expedition to the Himalayas. A second expedition, led by Dr. Tom Friend (Forrest Tucker) accompanied by trapper Ed Shelley (Robert Brown), photographer Andrew McNee (Michael Brill) and Sherpa guide Kusang (Wolfe Morris), arrives at the monastery in search of the legendary Yeti or Abominable Snowman. Rollason, despite the objections of his wife and the Lama, decides to join Friend's expedition. Whereas Rollason is motivated by scientific curiosity to learn more about the creature, Friend seeks fame and fortune and wants to capture a live Yeti and present it to the world's press.
The expedition climbs high into the mountains and finds a set of giant footprints in the snow, evidence of the Yeti's existence. As the tensions between Rollason and Friend rise, McNee is injured by a bear trap laid by Friend to catch the Yeti and later dies in a fall. Kusang flees back to the monastery from where Helen and Fox decide to mount a rescue mission. Meanwhile, Shelley succeeds in shooting and killing a Yeti, an act that enrages the creature's fellows. When Shelley is killed in a failed attempt to catch a live specimen, Friend finally decides to cut his losses and leave with the body of the dead Yeti. However, the Yeti close in on the two survivors and Friend is killed in an avalanche.
Rollason takes refuge in an ice cave and watches in amazement as a number of Yeti arrive and take away the body of their fallen compatriot. He realises the Yeti are an intelligent species biding their time to claim the Earth when humanity has destroyed itself.
The rescue party finds Rollason and brings him back to the monastery where, when questioned by the Lama, he claims the expedition found nothing (apparently the result of telepathic hypnosis by the Yetis).",horror dr john rollason peter cushing wife helen maureen connell assistant peter fox richard wattis guest lama arnold marlé monastery rong buk botanical expedition himalayas second expedition lead dr tom friend forr tucker accompany trapper ed shelley robert brown photographer andrew mcnee michael brill sherpa guide kusang wolfe morris arrive monastery search legendary yeti abominable snowman rollason despite objection wife lama decide join friend expedition rollason motivate scientific curiosity learn creature friend seek fame fortune want capture live yeti present world press expedition climb high mountain find set giant footprint snow evidence yeti existence tension rollason friend rise mcnee injure bear trap lay friend catch yeti later die fall kusang flee monastery helen fox decide mount rescue mission shelley succeed shoot kill yeti act enrage creature fellow shelley kill fail attempt catch live speciman friend finally decide cut loss leave body dead yeti yeti close survivor friend kill avalanche rollason take refuge ice cave watch amazement number yeti arrive away body fall compatriot realise yeti intelligent specie bide time claim earth humanity destroy rescue party find rollason bring monastery question lama claim expedition find apparently result telepathic hypnosis yetis
Daybreakers,horror,"In 2019, a plague has transformed most of the world's population into vampires. The human population has plummeted and the need for blood becomes desperate. Vampires deprived of blood for long durations degenerate into ""subsiders,"" psychotic bat-like creatures with no memories of who they were and whose only thought is the craving for blood. The few remaining humans are captured and harvested in laboratory farms while scientists research a synthetic blood substitute.
Edward Dalton (Ethan Hawke) is the head hematologist for the largest supplier of human blood in the US, owned by Charles Bromley (Sam Neill). Edward and colleague Christopher Caruso (Vince Colosimo) are developing a blood substitute.
Driving home from a failed experiment, Dalton accidentally runs another vehicle off the road. Checking on the occupants of the other vehicle, he learns they are humans. With the police approaching, Dalton has them hide in his vehicle. They part ways, but not before their leader, Audrey (Claudia Karvan), learns Edward's name and occupation from the ID badge on his jacket.
At home, Edward is surprised by his estranged brother Frankie (Michael Dorman). Frankie's gift of a bottle of pure human blood re-ignites a long-standing argument over Edward's sympathies towards humans. The argument is cut short when a subsider invades Edward's house, forcing the brothers to kill it.
The next morning, Audrey visits Edward's home and hands him a note with instructions for a meeting. During the meeting, Edward is introduced to Lionel ""Elvis"" Cormac (Willem Dafoe), a human who was once a vampire. Before he can say how he reverted to human, a military team arrives with Frankie, who had followed Edward and intends to capture both Cormac and Audrey. Audrey manages to knock Frankie unconscious and the three flee. Once they escape, Cormac explains that he was cured of vampirism when he was ejected from his sun-proof vehicle by a crash. Exposed to the sun, Elvis burst into flames, but his life was saved when he landed in a river, having been exposed to the sun for a precise length of time to turn him human again. Edward agrees to help Cormac find a way to recreate the cure.
That night Edward meets more human survivors, as well as Senator Turner (Jay Laga'aia), a vampire who is secretly helping the colony develop a cure. A convoy of humans heading to Audrey's group is ambushed and captured. The soldiers track the position of the vineyard, forcing Turner and the humans to flee. Audrey, Cormac and Edward stay behind so Edward can be cured. Edward is able to recreate the cure Elvis had explained, curing himself of vampirism. They attempt to regroup with Turner and the other humans, only to find they are all dead.
One of the captured convoy, Alison (Isabel Lucas), is revealed to be Charles' human daughter. Charles has Frankie forcibly turn her into a vampire. She refuses to drink human blood, and turns into a subsider. She is rounded up with others and dragged into sunlight to burn to death. Witnessing Alison's death upsets Frankie, causing him to seek out his brother. Meanwhile the military imposes martial law to control the subsider population and preserve order.
Edward, Cormac and Audrey break into Christopher's home and ask him to help spread the cure. However, Christopher has finally discovered a viable blood substitute and is not interested in a cure. He summons soldiers who capture Audrey while Cormac and Edward escape. They are found by Frankie, who agrees to help. He attacks Cormac, but drinking his blood turns Frankie human again; revealing that the risky sunlight cure is unnecessary.
Edward, trying to save Audrey, turns himself in to Charles, who gloats about his new monopoly of the blood substitute. Edward taunts Charles into biting him, making him human again like Frankie.
Edward leaves Charles at the mercy of soldiers who are on the brink of becoming subsiders. Frankie arrives and, surrounded by soldiers, draws their attention to himself to allow Edward and Audrey to escape; a feeding frenzy results, as the hungry soldiers consume first Frankie's blood and then that of the soldiers cured by it, until at last only three soldiers are left standing, cured and bewildered. Christopher, to cover up the cure, shoots the three and is about to shoot Edward and Audrey when Cormac kills him with a crossbow.
The three survivors drive off into the sunrise. In a voice-over, Edward addresses the general population, announcing the cure.",horror plague transform world population vampire human population plummet need blood desperate vampire deprive blood long duration degenerate subsider psychotic bat like creature memory thought craving blood remain human capture harvest laboratory farm scientist research synthetic blood substitute edward dalton ethan hawke head hematologist large supplier human blood own charles bromley sam neill edward colleague christopher caruso vince colosimo develop blood substitute drive home fail experiment dalton accidentally run vehicle road check occupant vehicle learn human police approach dalton hide vehicle way leader audrey claudia karvan learn edward occupation d badge jacket home edward surprise estranged brother frankie michael dorman frankie gift bottle pure human blood ignite long stand argument edward sympathy human argument cut short subsider invade edward house force brother kill morning audrey visit edward home hand note instruction meeting meeting edward introduce lionel elvis cormac willem dafoe human vampire revert human military team arrive frankie follow edward intend capture cormac audrey audrey manage knock frankie unconscious flee escape cormac explain cure vampirism eject sun proof vehicle crash expose sun elvis burst flame life save land river having expose sun precise length time turn human edward agree help cormac find way recreate cure night edward meet human survivor senator turner jay vampire secretly help colony develop cure convoy human head audrey group ambush capture soldier track position vineyard force turner human flee audrey cormac edward stay edward cure edward able recreate cure elvis explain cure vampirism attempt regroup turner human find dead capture convoy alison isabel lucas reveal charle human daughter charles frankie forcibly turn vampire refuse drink human blood turn subsider round drag sunlight burn death witness alison death upset frankie cause seek brother military impose martial law control subsider population preserve order edward cormac audrey break christopher home ask help spread cure christopher finally discover viable blood substitute interested cure summon soldier capture audrey cormac edward escape find frankie agree help attack cormac drink blood turn frankie human reveal risky sunlight cure unnecessary edward try save audrey turn charle gloat new monopoly blood substitute edward taunts charles bite make human like frankie edward leave charle mercy soldier brink subsider frankie arrive surround soldier draw attention allow edward audrey escape feeding frenzy result hungry soldier consume frankie blood soldier cure soldier leave stand cure bewildered christopher cover cure shoot shoot edward audrey cormac kill crossbow survivor drive sunrise voice edward address general population announce cure
The Sin Ship,drama,"Smiley Marsden (Ian Keith) is a bank-robber on the run from the police, with his moll, Frisco Kitty (Mary Astor). Cornered, they arrive at the San Francisco docks, where they convince the captain of a small cargo ship, Sam McVeigh (Louis Wolheim), to take them aboard on his run to Mexico, mostly because he is enchanted with Kitty. Marsden is posing as a minister. As the ship sets sail, every sailor aboard lusts after Kitty, none more so than the captain. One night, when inebriated, he corners Kitty in his cabin and begins to force himself on her. She stops him by basically telling him that he is better than that, which makes him do some deep soul-searching. During the rest of the voyage, Kitty manages to fend off the rest of the crew, with the help of the disarmed captain.
By the time they dock in Mexico, McVeigh has fallen in love with Kitty, who he still believes to be the wife of ""Minister"" Marsden. Aware that the authorities might become suspicious of him if McVeigh's ship departs immediately, Marsden delays their departure, first through the use of Kitty's flirtation with McVeigh, and later through outright sabotage. After the crew accuses McVeigh of the sabotage, Marsden's true identity is revealed, and he is shot trying to flee from the Mexican police. Kitty understands that McVeigh is truly in love with her, and the two end up together after the police release her.",drama smiley marsden ian keith bank robber run police moll frisco kitty mary astor corner arrive san francisco docks convince captain small cargo ship sam mcveigh louis wolheim aboard run mexico enchant kitty marsden pose minister ship set sail sailor aboard lust kitty captain night inebriate corner kitty cabin begin force stop basically tell well make deep soul search rest voyage kitty manage fend rest crew help disarm captain time dock mexico mcveigh fall love kitty believe wife minister marsden aware authority suspicious mcveigh ship depart immediately marsden delay departure use kitty flirtation mcveigh later outright sabotage crew accuse mcveigh sabotage marsden true identity reveal shoot try flee mexican police kitty understand mcveigh truly love end police release
A Return to Salem's Lot,horror,"Michael Moriarty plays an amoral anthropologist who has been lumbered with his dysfunctional adolescent son (Ricky Addison Reed). He returns to Salem's Lot, the town of his birth, to find that it has been taken over by the undead. A few living people are kept around to provide blood for the vampires and to operate the gas station and shops in the daytime. Knowing of the anthropologist's refusal to moralise about other people's lifestyles (in the opening scene he is seen refusing to interfere in a human sacrifice and concerned only for the quality of the film he is shooting), the vampires employ him to write their story. As the vampires' evil nature becomes clear, the anthropologist is joined by a Nazi hunter (played by Samuel Fuller) who helps him save his son, and at the climax the master vampire is impaled on the American flag instead of the traditional stake. As the trio escapes Salem's Lot, the vampires are left in the sun to burn along with their homes.",horror michael moriarty play amoral anthropologist lumber dysfunctional adolescent son ricky addison reed return salem lot town birth find take undead live people keep provide blood vampire operate gas station shop daytime know anthropologist refusal moralise people lifestyle opening scene see refuse interfere human sacrifice concerned quality film shoot vampire employ write story vampire evil nature clear anthropologist join nazi hunter play samuel fuller help save son climax master vampire impale american flag instead traditional stake trio escape salem lot vampire leave sun burn home
Swamy Ra Ra,"comedy, thriller","A Gold Vinayaka Idol of value of nearly ₹100 million in the International Market is stolen by the temple priest (Vishvesh) of the Sree Padmanabha Swamy Temple with the help of a Security Guard. The Idol, which actually belongs to the newly found treasure of the Temple is sold to a mysterious person who dies after his car meets with an accident. A kid takes the Idol from the ground and presents it to his friend who in turn presents it to her daughter in law. That man sells this Idol to a Goldsmith at Alappuzha of Kerala for ₹6,000. That Goldsmith sells it to another rich man at Mangalore of Karnataka for ₹37,000. He in turn sells it to another rich man at Shimoga of Karnataka for ₹1,90,000. This idol is sold to another rich man at Bellary of Karnataka for ₹0.5 million. Th idol is sold to a millionaire at Thiruchanur of Tamil Nadu for 2 million which in turn is sold at Madurai for 6 million which reaches to a Trader at Hyderabad for a value of ₹11 million.
The story then shifts to four lives Surya (Nikhil Siddharth), Bhanu (Pooja Ramachandran), Ravi (Sathya) and Swati (Swati Reddy). While Surya, Bhanu, Ravi are pick pocketers who rob people together, Swati is a Journalist whose parents left for USA for a short duration. Swati buys a Yellow color Vespa vehicle which is stolen by Surya while being chased by a person as Surya and Ravi rob him. After giving complaint to the Police, Swati finds Surya riding her Vehicle. Surya, after being stopped by Swati, represents himself as a Software Engineer working at HP who bought this vehicle from a Third party. Surya and Swati become friends and Surya later introduces Bhanu and Ravi to Swati as his colleagues in HP. Mean while Giri (Ravi Varma) goes to buy the Idol from the Trader on behalf of Durga Prasad (Ravi Babu), a criminal whose obligation is to deliver the Idol to a Minister in order to get exonerated from all his cases and joining politics. Giri kills the Trader, takes the Idol and goes to Durga's house and gives him the money he sent for and tells that the trader was dead and the Idol is missing.
Later Durga gives the same Money Bag to his personal Lawyer and finds Blood Stains on the Bag. He sends his henchmen to trace Giri and get the Idol from him. However Giri keeps the Idol in the Hand Bag of Swati when he hits Surya and Swati when they were riding their Vespa vehicle and notes the vehicle number. At Swati's home, Chotu, a kid who is a friend of Surya, steals the Idol from her hand bag and gives it to Surya. Surya along with Bhanu and Ravi approaches Shankar (Jeeva) via Jogi (Praveen), who is entitled for a commission of 10% of the sale price. Shankar decides to sell it for ₹50 million but Ravi foolishly reveals in a hurry that they are lucky to get ₹0.5 million. They go to Swati's house that night and celebrate terming salary hike as the reason. Next morning Durga goes to Swati's home, searches her handbag, kills Giri in front of them and demands them to tell the whereabouts of the Idol. During the Journey to Shankar's house, two professional killers (Jogi Krishnam Raju and Jogi Naidu) threaten them to vacate the car as they are in a hurry to escape from the police. At this point the trio and Swati flee to Swati's friend Dolly's house.
Shankar sells the Idol to two Africans (Alex and Elves) who approached Shankar via Jogi. There one of the African gets tempted after he sees Vijji (Shravanthi), a close person of Shankar. Jogi is insulted by Shankar by denying to give his commission after the African party left away. Jogi is humiliated by this and calls the trio to meet him the next hour. There Jogi asks Surya to get Shankar's purse before he reaches the place of Consignment where the price would be transferred by showing a 10 Dollars note given by the African Duo. If the note is brought, it would be shared among the trio and Jogi in equal ratio. The trio successfully get his purse without his knowledge and tear the note into two equal halves, one with Surya and one with Jogi. Surya then comes to know that Swati is kidnapped by Durga and he requires the Idol in an hour in order to set Swati free. Thus Surya calls Shankar and comes to know by him that the Idol is in Novotel after he gave his half note. Jogi then calls Shankar to bring ₹50 million if he needs the other half to Novotel. Meanwhile, Vijji seduces the African, ties his hands with a tight shirt and gets the locker code and flees away with the Idol. Surya after trashing the other in the same way comes to know about the Locker code, goes to the room only to find an empty locker and being chased by the African Duo with Guns in their hands.
At the cellar of Novotel Shankar gets his half note and shows the ₹50 million cash in a bag. In no time the trio, ignorant of the presence of the bag in the car, get into it along with Vijji and go away. Shankar chases them in his car, Jogi chases them in his friend's car, the African Duo chase them in a car which they get by threatening the owner of it to vacate. Bhanu snatches the Idol from Vijji and leaves her away on the road. Surya is summoned by Durga to Dog House to give the Idol and take Swati away. The cars of Surya, Shankar, Jogi, African Duo, Minister reach there and all of them enter the Dog House. The Professional Killers, who robbed Durga's car in the past are employed by the Minister to kill Durga, reach there and wait outside for the right time. Here, Surya is aimed by Shankar by a Gun who inturn is aimed by Jogi with a Gun. Jogi is aimed by the African Duo who are inturn aimed by Durga. Durga is aimed by a Gangster who inturn is aimed by Durga's henchman. The Minister who enters at this point is aimed by Shankar with his second gun, forming a nearly completed circle.
The killers enter the room and in a chaos, every one is killed except the trio, Swati, Durga and one of the Africans. The African and Durga shoot each other fatally and the trio along with Swati flee away with the Idol. In the journey to home, Swati declares her love for Surya to her mother in his presence. Meanwhile, the tyre gets punctured and the trio get down to check the tyre. But in the car's Decklid they find the bag containing ₹50 million. The trio jump in joy while Swati is ignorant of this and remains normal. The Idol is sent back to Anantha Padmanabha Swamy Temple and the film ends with Surya trying to secure a job in HP before Swati's parents return.",comedy thriller gold vinayaka idol value nearly million international market steal temple priest vishvesh sree padmanabha swamy temple help security guard idol actually belong newly find treasure temple sell mysterious person die car meet accident kid take idol ground present friend turn present daughter law man sell idol goldsmith alappuzha kerala goldsmith sell rich man mangalore karnataka turn sell rich man shimoga karnataka idol sell rich man bellary karnataka million th idol sell millionaire thiruchanur tamil nadu million turn sell madurai million reach trader hyderabad value million story shift life surya nikhil siddharth bhanu pooja ramachandran ravi sathya swati swati reddy surya bhanu ravi pick pocketer rob people swati journalist parent leave usa short duration swati buy yellow color vespa vehicle steal surya chase person surya ravi rob give complaint police swati find surya ride vehicle surya stop swati represent software engineer work hp buy vehicle party surya swati friend surya later introduce bhanu ravi swati colleague hp mean giri ravi varma go buy idol trader behalf durga prasad ravi babu criminal obligation deliver idol minister order exonerate case join politic giri kill trader take idol go durga house give money send tell trader dead idol miss later durga give money bag personal lawyer find blood stain bag send henchman trace giri idol giri keep idol hand bag swati hit surya swati ride vespa vehicle note vehicle number swati home chotu kid friend surya steal idol hand bag give surya surya bhanu ravi approach shankar jeeva jogi praveen entitle commission sale price shankar decide sell million ravi foolishly reveal hurry lucky million swati house night celebrate term salary hike reason morning durga go swati home search handbag kill giri demand tell whereabouts idol journey shankar house professional killer jogi krishnam raju jogi naidu threaten vacate car hurry escape police point trio swati flee swati friend dolly house shankar sell idol african alex elf approach shankar jogi african get tempt see vijji shravanthi close person shankar jogi insult shankar deny commission african party leave away jogi humiliate call trio meet hour jogi ask surya shankar purse reach place consignment price transfer show dollar note give african duo note bring share trio jogi equal ratio trio successfully purse knowledge tear note equal half surya jogi surya come know swati kidnap durga require idol hour order set swati free surya call shankar come know idol novotel give half note jogi call shankar bring million need half novotel vijji seduce african tie hand tight shirt get locker code flee away idol surya trash way come know locker code go room find locker chase african duo gun hand cellar novotel shankar get half note show million cash bag time trio ignorant presence bag car vijji away shankar chase car jogi chase friend car african duo chase car threaten owner vacate bhanu snatch idol vijji leave away road surya summon durga dog house idol swati away car surya shankar jogi african duo minister reach enter dog house professional killers rob durga car past employ minister kill durga reach wait outside right time surya aim shankar gun inturn aim jogi gun jogi aim african duo inturn aim durga durga aim gangster inturn aim durga henchman minister enter point aim shankar second gun form nearly complete circle killer enter room chaos kill trio swati durga african african durga shoot fatally trio swati flee away idol journey home swati declare love surya mother presence tyre get puncture trio check tyre car decklid find bag contain million trio jump joy swati ignorant remain normal idol send anantha padmanabha swamy temple film end surya try secure job hp swati parent return
Due Date,"comedy, road","Peter Highman (Robert Downey, Jr.), a successful architect, is due to fly home from Atlanta to Los Angeles to be with his wife Sarah (Michelle Monaghan), who is about to give birth. On the way to the airport, he has a chance encounter with Ethan Tremblay (Zach Galifianakis), who is going to LA to be an actor and is planning to scatter his recently deceased father's ashes at the Grand Canyon. When Ethan misuses the words ""terrorist"" and ""bomb"" while talking to Peter, they are both escorted off the plane. This is only the first of a series of misadventures caused by the drastically dysfunctional Ethan. Peter, now on the No Fly List and missing his wallet, agrees to drive with Ethan to Los Angeles.
Ethan stops to buy marijuana, and Peter discovers that they are nearly out of money. Since Peter has no I.D., he gets his wife to wire the money to Ethan, but discovers Ethan had the money wired to his stage name instead of his legal name. When the Western Union employee (Danny McBride) refuses to accept Ethan's ""Stage name I.D."" it leads to a violent altercation.
After a night at a rest stop, Peter decides to drive off and abandon Ethan, but realizes that he still has Ethan's father's ashes, having forgotten to unload them with the rest of Ethan's stuff when he left. This causes him to wrestle with his conscience, and he decides to return. Ethan drives so Peter can get some rest, but he falls asleep at the wheel and crashes the car. After Peter and Ethan are picked up by Peter's friend Darryl (Jamie Foxx), Peter again decides to part company with Ethan. Darryl initially persuades him otherwise, but then throws Ethan out after mistakenly drinking some of Ethan's father's ashes, which were stored in a coffee tin.
When Darryl lets them use his Range Rover to make the rest of the trip, Ethan mistakenly drives to the Mexico–United States border. Despite assuring Peter that he'll handle the situation, Ethan flees, and Peter is arrested for possession of marijuana. The Mexican Federal Police lock Peter up, but Ethan steals a truck and breaks him out, causing several car crashes in the process.
They stop at the Grand Canyon, and Ethan finally scatters his father's ashes. Peter then confesses that he tried to leave Ethan at the rest area. Ethan makes a confession of his own: he has had Peter's wallet and I.D the entire time. Peter seemingly forgives him but then attacks Ethan in a rage, but is interrupted by a call from Sarah, who has just gone into labor. Peter and Ethan leave for California. Ethan finds a gun in the truck and he accidentally shoots Peter. Arriving at the hospital where Sarah is in labor, Peter passes out from loss of blood.
Sarah delivers the baby safely, and Peter expresses his discomfort at his new daughter being named Rosie Highman. Ethan leaves while telling Peter to call him. At the end, Ethan guest stars on an episode of his favorite television program, Two and a Half Men with Peter and Sarah watching it in bed with their daughter.",comedy road peter highman robert downey jr successful architect fly home atlanta los angeles wife sarah michelle monaghan birth way airport chance encounter ethan tremblay zach galifianaki go la actor plan scatter recently deceased father ashe grand canyon ethan misuse word terrorist bomb talk peter escort plane series misadventure cause drastically dysfunctional ethan peter fly list miss wallet agree drive ethan los angeles ethan stop buy marijuana peter discover nearly money peter get wife wire money ethan discover ethan money wire stage instead legal western union employee danny mcbride refuse accept ethan stage lead violent altercation night rest stop peter decide drive abandon ethan realize ethan father ashe having forget unload rest ethan stuff leave cause wrestle conscience decide return ethan drive peter rest fall asleep wheel crash car peter ethan pick peter friend darryl jamie foxx peter decide company ethan darryl initially persuade throw ethan mistakenly drink ethan father ashe store coffee tin darryl let use range rover rest trip ethan mistakenly drive mexico united states border despite assure peter handle situation ethan flees peter arrest possession marijuana mexican federal police lock peter ethan steal truck break cause car crash process stop grand canyon ethan finally scatter father ashe peter confess try leave ethan rest area ethan make confession peter wallet entire time peter seemingly forgive attack ethan rage interrupt sarah go labor peter ethan leave california ethan find gun truck accidentally shoot peter arrive hospital sarah labor peter pass loss blood sarah deliver baby safely peter express discomfort new daughter name rosie highman ethan leave tell peter end ethan guest star episode favorite television program half man peter sarah watch bed daughter
